timeline,character_name,english_dialogue,bengali_dialogue
"00:05:00,634 --> 00:05:04.838",LOVETT,I want you guys working the D deck... reception area and the dining saloon.,আমি চাই তোমারা ডি-ডেকের উপরে কাজ করো... অভ্যর্থনা কক্ষ আর ডাইনিং রুমে দেখ ।
"00:05:05,639 --> 00:05:06.640",TECHNICIAN,Copy that.,কপি করো ।
"00:05:12,846 --> 00:05:16.016",LOVETT,"Tether out. Okay, now left. Left, left. Okay, coming left.","অনুসন্ধানকারী যন্ত্র বাইরে নিয়ে এসো, ঠিক আছে । এখন বাঁ-দিকে, বাঁ-দিকে, বাঁ-দিকে । বাঁ-দিকে নিয়ে চলো"
"00:05:25,025 --> 00:05:28.862",LOVETT,Snoop Dog is on the move. We're headed down the stairwell.,"অনুসন্ধানকারী যন্ত্র যাচ্ছে, আমরা সিঁড়ির সামনে ।"
"00:05:31,632 --> 00:05:33.901",LOVETT,"Okay Lewis, drop down to B deck.","ঠিক আছে লুয়িস, বি-ডেকের ভেতরে যাও"
"00:05:33,967 --> 00:05:36.570",BODINE,"Okay, A deck. Give me some rope, Captain.","এ-ডেক ঠিক আছে, আমাকে আরও একটু যেতে দিন, ক্যাপ্টেন ।"
"00:05:36,637 --> 00:05:38.138",LOVETT,B deck. Get in there. Get in there.,বি-ডেক । এখানে । এখানে ।
"00:06:16,910 --> 00:06:18.946",LOVETT,Watch the door frame.,দরজাটির ফ্রেম দেখ ।
"00:06:19,012 --> 00:06:20.581",LOVETT,"Watch it, watch it. I see it. I got it.","এটা দেখ, এটা দেখ । আমি এটা দেখতে পাচ্ছি, আমি এটা পেয়েছি ।"
"00:06:26,186 --> 00:06:28.021",LOVETT,"We good? Bring her down. We're good. Just chill, boss.","আমরা ঠিক আছি ? এটাকে নীচে নামাও । আমরা ঠিক আছি, শুধু ঠাণ্ডায় কাঁপুনি লাগছে, বস ।"
"00:06:45,105 --> 00:06:47.741",BODINE,"Cable out, Captain. Make your turn. Watch the wall.","ক্যাবল বিছিন্ন, ক্যাপ্টেন । পাশে যাও । দেওয়ালটি দেখ ।"
"00:06:47,808 --> 00:06:50.544",MAN (OVER RADIO),"Yeah Brock, we're at the piano. You copy?","হ্যাঁ বোরাক, আমরা পিয়ানোর কাছে । তুমি কপি করছ ?"
"00:06:50,611 --> 00:06:52.112",LOVETT,"Okay, copy that.","ঠিক আছে, এটা কপি করছি ।"
"00:06:59,487 --> 00:07:01.922",LOVETT,"Okay, right there. Right there.","ঠিক আছে, এখানে, এখানে ।"
"00:07:01,989 --> 00:07:03.691",LOVETT,"Okay, that's it, that's it. That's the bedroom door.","ঠিক আছে, এটা, এটা । এটা বেডরুমের দরজা ।"
"00:07:03,757 --> 00:07:05.092",BODINE,I see it. I see it.,আমি এটা দেখতে পাচ্ছি ।আমি এটা দেখতে পাচ্ছি ।
"00:07:14,167 --> 00:07:15.435",BODINE,We're in!,আমরা ভেতরে !
"00:07:15,503 --> 00:07:16.970",BODINE,"We're in, baby. We're there.","আমরা ভেতরে, বেবি । আমরা সেখানে ।"
"00:07:19,640 --> 00:07:20.941",LOVETT,That's Hockley's bed.,এটা হকি খেলার বিছানা ।
"00:07:21,008 --> 00:07:22.976",LOVETT,That's where the son of a bitch slept.,এখানে কুত্তাগুলো ঘুমাত ।
"00:07:29,082 --> 00:07:31.752",BODINE,Oops. Somebody left the water running.,ওপস...কেউ সম্ভবত পানির লাইনটা খুলে রেখেছিল ।
"00:07:31,819 --> 00:07:34.254",LOVETT,Hold it. Hold it just a second. Go back to the right.,এটা থামাও । এটা এক সেকেন্ডের জন্য থামাও । ডান দিকে যাও ।
"00:07:40,861 --> 00:07:43.531",LOVETT,That wardrobe door. Get closer.,"এটা ওয়ারড্রপ দরজা, কাছে যাও ।"
"00:07:43,597 --> 00:07:45.365",BODINE,"You smelling something, boss?","তুমি কিছুর গন্ধ পাচ্ছ, বস ?"
"00:07:45,432 --> 00:07:48.536",LOVETT,I want to see what's under it.,আমি দেখতে চাই এর নীচে কি আছে ।
"00:07:57,010 --> 00:07:58.946",LOVETT,Take it easy. It might come apart. Okay.,এটা সহজভাবে নাও । এটা হাতে নাও । ঠিক আছে ।
"00:08:00,948 --> 00:08:04.384",LOVETT,"Go, go, go. Flip it over. Flip it over. Go.","যাও, যাও, যাও । এটা উল্টে ফেলো । এটা উল্টে ফেলো । যাও ।"
"00:08:04,451 --> 00:08:05.485",LOVETT,Turn her over. Keep going.,উল্টে ফেলো । উল্টাতে থাকো ।
"00:08:05,553 --> 00:08:07.220",LOVETT,"Go, go, go.","যাও, যাও, ৯ ডিগ্রী অ্যাঙ্গেলে ।"
"00:08:07,287 --> 00:08:08.355",LOVETT,"Okay, drop it.","ঠিক আছে, এটা ফেলে দাও ।"
"00:08:17,631 --> 00:08:20.701",BODINE,"Oh, baby, baby. Are you seeing this, boss?","ওহ, বেবি, বেবি । তুমি এটা দেখতে পাচ্ছ, বস ?"
"00:08:23,637 --> 00:08:25.639",LOVETT,"It's payday, boys.","এটা কিছু পাবার দিন, ছেলে ।"
"00:08:41,421 --> 00:08:43.924",MAN,Cha-ching!,চা-চিং !
"00:08:43,991 --> 00:08:46.093",MAN,"We did it, Bobby. We brought it back, Baby.","আমরা এটা করেছি, ববি । আমরা এটা ফিরিয়ে নিয়ে এসেছি, বেবি ।"
"00:08:46,159 --> 00:08:49.429",BODINE,"Oh, yeah! Who's the best? Who's the best, baby?","ওহ, হ্যাঁ । কে আসল কাজ করেছে ? কে আসল কাজ করেছে, বেবি ?"
"00:08:49,496 --> 00:08:51.765",BODINE,Say it. Say it. Say it.,"এটা বলো, এটা বলো, এটা বলো ।"
"00:08:51,832 --> 00:08:53.500",LOVETT,"You are, Lewis.","তুমি, লুয়িস ।"
"00:09:06,013 --> 00:09:07.014",LOVETT,"Okay, crack her open.","ঠিক আছে, এটা ভেঙে বের করো ।"
"00:09:40,380 --> 00:09:41.882",MAN,No diamond.,কোন ডাইমণ্ড নেই ।
"00:09:43,917 --> 00:09:47.621",BODINE,"You know boss, this same thing happened to Geraldo and his career never recovered.","তুমি জান বস, সেই একই জিনিস ঘটল যেটা গারলিডোর ক্ষেত্রেও ঘটেছিল, এটা পুনরুদ্ধার করা সম্ভব হয়নি ।"
"00:09:53,393 --> 00:09:57.330",BUELL,"Brock, the partners would like to know how it's going.","বোরাক, পার্টনাররা জানতে চাচ্ছেন কাজের কি অবস্থা চলছে ।"
"00:09:57,397 --> 00:10:01.669",LOVETT,"Hey, Dave, Barry, hi. Look, I it wasn't in the safe.","হেই, ডেভ, ব্যারি, হাই । দেখ, এটা কোন নিরাপদ জায়গাতে ছিল না ।"
"00:10:01,735 --> 00:10:05.673",LOVETT,"...Don't worry about it. There's still plenty of places it could be. Hell, yes.","...এটা নিয়ে চিন্তা করো না । এখানে এটা থাকার মত আর অনেক জায়গা আছে । হ্যাঁ, ঘোড়ার ডিম ।"
"00:10:05,739 --> 00:10:07.941",LOVETT,"The floor debris in the suite, the mother's room...","মেঝের ভগ্নাবশেষের কাছে, প্রধান রুমে"
"00:10:08,008 --> 00:10:09.342",LOVETT,the purser's safe on C deck.,সি-ডেকেও নিরাপদে থাকতে পারে ।
"00:10:10,744 --> 00:10:15.081",LOVETT,"A dozen other places. Guys, look, you're just going to have to trust my instincts.",আর ১২ টি জায়গা রয়েছে - দেখ আমার অভিজ্ঞতার উপর তোমার বিশ্বাস স্থাপন করতে হবে । আমি জানি আমরা কাছের বন্ধু ।
"00:10:16,149 --> 00:10:18.151",LOVETT,We've just got to go through a little process of elimination.,এখন আমাদের শুধু একটু অপসারনের প্রক্রিয়া সম্পরন্ন করতে হবে ।
"00:10:24,424 --> 00:10:26.159",BUELL,"Let me see that. Ah, we may have something here, guys.","আমাকে এটা দেখতে দাও । আহ, আমরা সম্ভবত এখানে থেকে কিছু পেতে পারি ।"
"00:10:29,930 --> 00:10:31.699",LOVETT,Where's the photograph of the necklace?,নেকলেসের ছবিটা কোথায় ?
"00:10:44,778 --> 00:10:46.613",LOVETT,I'll be goddamned.,আমি সত্যিই বিস্মিত হচ্ছি !
"00:10:53,286 --> 00:10:55.222",LIZZY,It's okay. I'll feed you in a minute.,এটা ঠিক আছে । আমি তোমাকে এক মিনিটের মধ্যে খাবার দিচ্ছি ।
"00:10:55,288 --> 00:11:00.560",REPORTER (ON TV),"Now he has chartered Russian subs to reach the most famous shipwreck of all, the Titanic.",এখন তিনি রাশিয়ার জাহাজ ভাড়া করেছেন বিখ্যাত টাইটানিকের ধ্বংসবশেষের কাছে পৌঁছানোর জন্য ।
"00:11:00,627 --> 00:11:07.067",REPORTER (ON TV),"He is with us live via satellite from the research ship Keldysh... in the North Atlantic. Hello, Brock.","তিনি জাহাজ গবেষণাগার চেলসিস থেকে উপগ্রহের মাধ্যমে আমাদের সাথে যোগ দিচ্ছেন... ...নর্থ আটলান্টিক থেকে । হ্যালো, বোরাক"
"00:11:07,134 --> 00:11:11.304",LOVETT (ON TV),"Hello, Tracy. Of course, everyone knows the familiar stories of Titanic.","...হ্যালো ট্রেসি, অবশ্যই সবাই টাইটানিকের পরিচিত গল্পগুলো জানে ।"
"00:11:11,371 --> 00:11:14.574",LOVETT (ON TV),"You know, the nobility of the band playing to the very end and all that.","আপনি জানেন, টাইটানিকের আভিজাত্য যেটা অনেক আগেই ধ্বংস হয়ে গেছে ।"
"00:11:14,641 --> 00:11:19.379",LOVETT (ON TV),But what I'm interested in are the untold stories. The secrets locked deep inside the hull of Titanic.,কিন্তু আমি টাইটানিকের না বলা গল্পগুলোর জন্য আগ্রহী । গোপনীয় নিদর্শনগুলো টাইটানিকের ভেতরে লকআপের মধ্যে ছিল ।
"00:11:19,446 --> 00:11:25.685",LOVETT (ON TV),And we're out here using robot technology to go further into the wreck... than anybody has ever done before.,আর আমরা এটা বের করার জন্য রোবট টেকনোলজি ব্যবহার করছি পরবর্তীতে এর ধ্বংসবশেষের মধ্যে... ...আর এখন পর্যন্ত কারও পক্ষে এটা করা সম্ভব হয়নি ।
"00:11:25,753 --> 00:11:33.260",REPORTER (ON TV),Your expedition is at the center of a storm of controversy... over salvage rights and even ethics. Many are calling you a graverobber.,আপনার অভিযান বিশ্বজুড়ে তীব্র সমালোচনার মুখেও... ...জাহাজ ও জাহাজের মালামাল পুনরুদ্ধারের কাজ যেটা এখনো নীতিবিজ্ঞান সম্মত । কিন্তু অনেকই আপনাকে মারাত্মক চোরও বলছেন
"00:11:33,326 --> 00:11:35.328",LOVETT (ON TV),"Well, nobody ever called the recovery of the artifacts...","ভাল, কিন্তু কেউই এখন পর্যন্ত হাতে আঁকানো এই নিদর্শনটি পুনরুদ্ধার করতে পারেনি..."
"00:11:35,395 --> 00:11:36.596",LIZZY,What is it?,কি হল তোমার ?
"00:11:36,663 --> 00:11:38.598",OLD ROSE,"Turn that up, dear.","টেলিভিশনের ভলিওমটা বাড়াও, মামনি ।"
"00:11:38,665 --> 00:11:44.337",LOVETT (ON TV),I have museum-trained experts sent out here making sure... that these relics are preserved and catalogued properly.,আমি বিষয়টা সম্পর্কে নিশ্চিত হওয়ার জন্য মিউজিয়াম ট্রেনিং এক্সপার্টদের সেখানে পাঠিয়েছি... ...এই ধ্বংসবাশেষগুলো তালিকাভুক্তি অনুসারে সঠিকভাবে সংরক্ষণ করা হবে ।
"00:11:44,404 --> 00:11:47.440",LOVETT (ON TV),Take a look at this drawing that we found just today.,"আপনারা এই আঁকানো ছবিটির দিকে তাকান, যেটা আমরা আজকে খুঁজে পেয়েছি ।"
"00:11:47,507 --> 00:11:51.278",LOVETT (ON TV),A piece of paper that's been underwater for 84 years.,এক টুকরা কাগজ যেটা ৮৪ বছর পানির নীচে ছিল ।
"00:11:51,344 --> 00:11:54.281",LOVETT (ON TV),And my team are able to preserve it intact.,আর আমাদের উদ্ধারকারী দল এটাকে অক্ষতভাবে সংরক্ষণ করতে সক্ষম হয়েছে ।
"00:11:54,347 --> 00:11:57.684",LOVETT (ON TV),Should this have remained unseen at the bottom of the ocean for eternity...,সম্ভবত এটা অলক্ষিত অবস্থায় ওশেনের তলদেশে অনন্তকাল থাকত ।
"00:11:57,751 --> 00:11:59.953",LOVETT (ON TV),...when we can see and enjoy it now?,"...যখন আমরা এটা দেখেছিলাম, আমরা অনেক মজা করেছিলাম ।"
"00:12:00,020 --> 00:12:01.855",OLD ROSE,I'll be goddamned.,আমি সত্যিই বিস্মিত হচ্ছি !
"00:12:05,258 --> 00:12:06.794",BUELL,Brock!,বোরাক !
"00:12:06,860 --> 00:12:08.695",BUELL,There's a satellite call for you.,উপগ্রহ থেকে তোমার কাছে কল এসেছে ।
"00:12:08,762 --> 00:12:12.299",LOVETT,"Bobby, we're launching. You see these submersibles going in the water?","ববি, আমরা যাত্রা শুরু করে দিয়েছি । তুমি দেখতে পাচ্ছ এটা পানিতে যাচ্ছে ?"
"00:12:12,365 --> 00:12:14.768",BUELL,"Trust me, buddy. You want to take this call.","আমাকে বিশ্বাস করো, বন্ধু । তুমি কলটি নিতে চাও ?"
"00:12:16,103 --> 00:12:18.205",LOVETT,This better be good.,এটা ভাল হবে ।
"00:12:21,208 --> 00:12:22.375",LOVETT,Great.,হয়েছে ।
"00:12:23,877 --> 00:12:26.814",LOVETT,"This is Brock Lovett. How can I help you, Mrs...?",বোরাক লাভিট । আমি কিভাবে আপনাকে সাহায্য করতে পারি ?
"00:12:26,880 --> 00:12:28.916",OLD ROSE,Calvert. Rose Calvert.,"ক্যালভেট, রোস ক্যালভেট ।"
"00:12:28,982 --> 00:12:29.983",LOVETT,Mrs. Calvert.,মিসেস. ক্যালভেট
"00:12:31,051 --> 00:12:34.154",OLD ROSE,I was just wondering if you had found...,"আমি শুধু অবাক হয়েছি, যদি আপনারা এটা খুঁজে পান..."
"00:12:34,221 --> 00:12:36.223",OLD ROSE,"...the Heart of the Ocean yet, Mr. Lovett.",“দ্যা হার্ট অফ দ্যা ওশেন” মি. লভেল ।
"00:12:38,558 --> 00:12:40.293",BUELL,Told you you wanted to take the call.,তোমাকে বলেছিলাম তুমি কলটি নিবে ।
"00:12:42,562 --> 00:12:45.833",LOVETT,"All right, you have my attention, Rose.","সব ঠিক আছে । দয়া করে আপনি আমার মনোযোগ আকর্ষণ করুন, রোস ।"
"00:12:45,899 --> 00:12:48.501",LOVETT,Can you tell us who the woman in the picture is?,আপনি আমাদের বলবেন ছবিতে মহিলাটি কে ?
"00:12:48,568 --> 00:12:51.905",OLD ROSE,"Oh, yes. The woman in the picture is me.","ওহ, হ্যাঁ । ছবির মহিলাটি আমি ।"
"00:13:08,321 --> 00:13:12.860",BODINE,She's a goddamn liar! Some nutcase seeking money or publicity. God only knows why.,তিনি বড় ধরনের মিথ্যাবাদী । কিছু মানুষ টাকার লোভে আথবা নিজেকে প্রচারের আশায় এটা করে । খোদাই শুধু জানে ।
"00:13:12,926 --> 00:13:16.864",BODINE,"Like that Russian babe, Anesthesia.","রাশিয়ানদের মত, অচেতন অবস্থা ।"
"00:13:16,930 --> 00:13:18.765",MAN,They're inbound!,তারা আসছে !
"00:13:23,770 --> 00:13:28.541",BODINE,"Rose DeWitt Bukater died on the Titanic when she was 17, right?","টাইটানিকে অবস্থানকালে রোস ডেভ, ফিট বুকাটের মারা গিয়েছিল, যখন তার (বৃদ্ধার) বয়স ১৭ ছিল, ঠিক ?"
"00:13:28,608 --> 00:13:31.711",LOVETT,"That's right. If she had lived, she'd be over 100 by now.",এটা ঠিক আছে । তিনি যদি বেঁচে থাকেন তাহলে তার বয়স ১০০ এর বেশি হবে ।
"00:13:31,778 --> 00:13:34.214",LIZZY,101 next month.,সামনের মাসে ১০১ বছর হবে ।
"00:13:34,281 --> 00:13:37.284",BODINE,"Okay, so she's a very old goddamn liar.","ঠিক আছে, তাহলে তিনি বড় ধরনের মিথ্যাবাদী বুড়ি হবেন ।"
"00:13:37,350 --> 00:13:43.891",BODINE,"Look, I've already done the background on this woman... all the way back to the 20s, when she was working as an actress.","দেখ, আমি ইতোমধ্যে মহিলাটির জন্য জায়গা ঠিক দিয়েছি... ...ঠিক আছে ২০ শতকে ফিরে যাও, যখন তিনি একজন অভিনেত্রী ছিলেন ।"
"00:13:43,957 --> 00:13:47.060",BODINE,"An actress. There's your first clue, Sherlock.","একজন অভিনেত্রী । এটা তোমার প্রথম তথ্য, শাইলক ।"
"00:13:47,127 --> 00:13:51.564",BODINE,Her name was Rose Dawson back then. Then she marries this guy named Calvert.,তার নাম ছিল রোস ডওসন । তারপর তিনি যাকে বিয়ে করেছিলেন তার নাম ছিল ক্যালভাট ।
"00:13:51,631 --> 00:13:55.235",BODINE,They move to Cedar Rapids and she punches out a couple of kids.,তারা সিবার রাপিডের কাছে চলে যায় আর তিনি সেখানে বাচ্চার জন্মও দেন ।
"00:13:55,302 --> 00:13:58.638",BODINE,"Now Calvert's dead and, from what I hear, Cedar Rapids is dead.",এখন ক্যালভাট মারা গেছেন আর আমি সেখান থেকে শুনেছি সিবার রাপিডও মারা গেছেন ।
"00:13:58,705 --> 00:14:03.243",LOVETT,"And everybody who knows about the diamond is supposed to be dead... or on this boat, but she knows.","আর সবাই, যারা হীরাটা সম্পর্কে জানে এটা হারিয়ে গিয়েছে... ...অথবা জাহাজে আছে, কিন্তু তিনি এটা জানেন ।"
"00:14:19,592 --> 00:14:21.328",BUELL,"Hurry up, give him a hand.",উনাকে নীচে নামাতে সাহায্য করো ।
"00:14:21,394 --> 00:14:25.065",LOVETT,"Mrs. Calvert, I'm Brock Lovett. Welcome to the Keldysh.","মিসেস ক্যালভাট, বোরক লোভেল । কালডিসে আপনাকে স্বাগতম ।"
"00:14:27,334 --> 00:14:29.602",MAN,"Okay, let's get her inside there.","ঠিক আছে, উনাকে ভেতরে নিয়ে যাও ।"
"00:14:33,673 --> 00:14:35.008",OLD ROSE,Thanks.,ধন্যবাদ ।
"00:14:47,354 --> 00:14:48.421",OLD ROSE,"Oh, yes.","ওহ, হ্যাঁ ।"
"00:14:48,488 --> 00:14:49.689",OLD ROSE,Very nice.,খুবই সুন্দর ।
"00:14:49,756 --> 00:14:54.361",OLD ROSE,"Have you met my granddaughter, Lizzy? She takes care of me.","তুমি আমার নানুজানের পরিচিত হয়েছে, লেজি ? সে আমার দেখাশুনা করে ।"
"00:14:54,427 --> 00:14:58.031",LIZZY,"We met just a few minutes ago. Remember, Nana? Up on deck?","আমাদের কিছুক্ষণ আগে দেখা হয়েছে । মনেকর, নানু ডেকের উপরে ?"
"00:14:58,098 --> 00:14:59.199",OLD ROSE,"Oh, yes.","ওহ, হ্যাঁ ।"
"00:15:00,467 --> 00:15:02.369",BODINE,There. That's nice.,এটা দারুন ছিল ।
"00:15:05,872 --> 00:15:07.207",LOVETT,Is there anything you'd like?,যেটা আপনি পছন্দ করতেন ?
"00:15:08,775 --> 00:15:10.377",OLD ROSE,Yes.,হ্যাঁ ।
"00:15:10,443 --> 00:15:12.779",OLD ROSE,I would like to see my drawing.,আমি আঁকানো ছবিটি দেখতে চাচ্ছি
"00:15:26,626 --> 00:15:38.738",LOVETT,Louis XVI wore a fabulous stone that was... called the Blue Diamond of the Crown... which disappeared in 1792... about the same time old Louis lost everything from the neck up.,রাজা লুয়িস-১৬ একটি মূল্যবান পাথর পরতেন... ...এটাকে “ব্লু ডায়মন্ড” বলা হত... ...যেটা হারিয়ে গিয়েছিল ১৭৯২ সালে... ...ঠিক একই সময়ে বৃদ্ধা লুয়িস ঘাড় পর্যন্ত সব কিছুই হারিয়ে ফেলেছিলেন...
"00:15:38,805 --> 00:15:43.076",LOVETT,"The theory goes that the crown diamond was chopped, too.",তত্ত্ব বলছে মুকুটের হীরাটি অত্যন্ত মূল্যবান ছিল ।
"00:15:43,143 --> 00:15:47.180",LOVETT,Recut into a heart-like shape that became known as... the Heart of the Ocean.,"এটা দেখতে অনেকটা মানুষের হৃদয়ের মতো, এজন্য এটাকে বলা হত... “দ্যা হার্ট অফ দ্যা ওশেন”"
"00:15:47,247 --> 00:15:50.083",LOVETT,Today it would be worth more than the Hope diamond.,আজকে এটার মূল্য হীরা পাবার আশার চেয়েও বেশি ।
"00:15:50,150 --> 00:15:52.585",OLD ROSE,"It was a dreadful, heavy thing.",এটা বেশ ভারী ছিল ।
"00:15:52,652 --> 00:15:55.355",OLD ROSE,I only wore it this once.,আমি একবারই এটা পরেছিলাম ।
"00:15:55,422 --> 00:15:57.424",LIZZY,"You actually think this is you, Nana?","তুমি বলতে চাচ্ছ এটা তুমি, নানু ?"
"00:15:57,490 --> 00:15:59.559",OLD ROSE,"It is me, dear.","এটা আমি, নানুজান ।"
"00:16:02,462 --> 00:16:11.104",LOVETT,I tracked it down through insurance records. An old claim that was settled under terms of absolute secrecy.,আমি বীমা কোম্পানির রেকর্ডগুলো থেকে... ...গোপনীয়তা রক্ষা করে বের করেছি হীরাটির মালিক কে ।
"00:16:11,171 --> 00:16:14.107",LOVETT,"Can you tell me who the claimant was, Rose?","আপনি কি বলবেন এটার মালিক কে ছিল, রোস ?"
"00:16:14,174 --> 00:16:17.110",OLD ROSE,I should imagine someone named Hockley.,আমার সম্ভবত যার কথা মনে হচ্ছে তিনি হকলি ।
"00:16:17,177 --> 00:16:19.379",LOVETT,"Nathan Hockley, that's right.","ন্যাথান হকলি, ঠিক আছে ?"
"00:16:21,514 --> 00:16:25.785",LOVETT,"The claim was for a diamond necklace his son... Caledon, bought his fiancée.",ডায়মন্ডের নেকলেসটি উনার ছেলে... ...ক্যালডনের হবু স্ত্রীর জন্য কেনা হয়েছিল ।
"00:16:25,852 --> 00:16:27.220",LOVETT,You.,যেটা আপনি ।
"00:16:27,287 --> 00:16:30.457",LOVETT,A week before he sailed on Titanic.,এক সপ্তাহ আগে তিনি যাত্রা করেছিলেন ।
"00:16:30,523 --> 00:16:33.626",LOVETT,And it was filed right after the sinking.,আর এটা নথিভুক্ত করা হয়েছিল ঠিক এটা ডুবে যাওয়ার পর ।
"00:16:38,198 --> 00:16:39.366",BODINE,You see the date?,তুমি তারিখটা দেখতে পাচ্ছ ?
"00:16:40,867 --> 00:16:43.136",LIZZY,"April 14, 1912.","এপ্রিল ১৪, ১৯১২ ।"
"00:16:43,203 --> 00:16:49.142",LOVETT,Which means if your grandmother is who she says she is... she was wearing the diamond the day the Titanic sank.,"যেটা তোমার নানু বলতে চাচ্ছেন, সেটা যদি তিনি হতেন, তাহালে… ...তিনি ঐদিন হীরাটি পড়েছিলেন যে দিন টাইটানিক ডুবে গিয়েছিল ।"
"00:16:49,209 --> 00:16:53.146",LOVETT,And that makes you my new best friend.,...আর এটাই আপনাকে আমার একজন ভাল বন্ধু বানালো ।
"00:16:53,213 --> 00:16:55.348",LOVETT,These are some of the things we recovered from your stateroom.,এখানে যেগুলো দেখছেন সেগুলো আমরা আপনার কেবিনের রুম থেকে পুনরুদ্ধার করেছি ।
"00:16:58,885 --> 00:17:00.720",OLD ROSE,This was mine.,এটা ছিল হৃদয় ।
"00:17:01,888 --> 00:17:04.657",OLD ROSE,How extraordinary.,কত অসাধারণ !
"00:17:04,724 --> 00:17:08.161",OLD ROSE,And it looks the same as it did the last time I saw it.,আর এটা দেখতে ঠিক একই রকম দেখাচ্ছে যেমনটা আমি এটা শেষবার দেখেছিলাম ।
"00:17:13,900 --> 00:17:16.403",OLD ROSE,The reflection has changed a bit.,শুধু প্রতিফলনেরই সামান্য পরিবর্তন হয়েছে ।
