timeline,character_name,english_dialogue,bengali_dialogue
"00:05:10,060 --> 00:05:13,897",JAKE,"Me, I was just another dumb grunt getting sent someplace he was gonna regret.","আমি, আমি ছিলাম অন্য বেকুব যে কিনা যেতে চাচ্ছিলাম সেখানে যেখানে সে যেতে অনুতপ্ত হতো."
"00:05:46,388 --> 00:05:47,988",JAKE,"In cryo, you don't dream at all.","ক্রাইও তে, তুমি সবকিছু কল্পনা করতে পারো না।"
"00:05:48,974 --> 00:05:51,017",JAKE,It doesn't feel like six years.,এটা ৬ বছরের মতো অনুভুতি না.
"00:05:51,101 --> 00:05:54,437",JAKE,More like a fifth of tequila and an ass-kicking.,tequila (মদ) এর ৫ম গ্লাস এবং একটি লাথি থেকেও বেশি।
"00:06:07,409 --> 00:06:09,119",JAKE,Are we there yet?,আমরা কি এখনো এসে পৌছেছি?
"00:06:09,369 --> 00:06:11,454",MED TECH,"Yeah, we're there, sunshine.","হ্যা, আমরা সেখানে, সানশাইন."
"00:06:11,788 --> 00:06:13,373",MED TECH,We're there.,আমরা সেখানে.
"00:06:13,874 --> 00:06:17,585",MED TECH,"You've been in cryo for five years, nine months and 22 days.","তোমরা ক্রাইও তে ৫ বছর, ৯ মাস এবং ২২ দিন ধরে আছ।"
"00:06:17,669 --> 00:06:20,505",MED TECH,You will be hungry. You will be weak.,তোমরা ক্ষুধার্ত হবে. তোমরা দূর্বল হবে.
"00:06:20,589 --> 00:06:25,677",MED TECH,"If you feel nausea, please use the sacks provided for your convenience.","যদি তোমরা বিতৃষ্ণা বোধ করো, দয়া করে তোমাদের সুবিধামতো সময়ে বস্তাগুলো ব্যবহার করো."
"00:06:26,011 --> 00:06:28,972",MED TECH,The staff thanks you in advance.,কর্মকর্তা তোমাদের আগাম শুভেচ্ছা জানিয়েছেন।
"00:06:42,527 --> 00:06:44,654",JAKE,Up ahead was Pandora.,সামনেই ছিলো প্যান্ডোরা.
"00:06:46,031 --> 00:06:49,993",JAKE,"You grew up hearing about it, but I never figured I'd be going there.","তোমরা শুনতে শুনতে বড় হয়েছো, কিন্তু আমি কল্পনা করতে পারিনি আমি সেখানে যাচ্ছি."
"00:07:08,929 --> 00:07:11,765",MAN,"Valkyrie 1-6, copy…","ভ্যাল্কিরি ১-৬, কপি..."
"00:07:11,973 --> 00:07:15,602",MAN,"Valkyrie 1-6, you are clear for de-orbit burn at 2-2-4-niner.","ভ্যাল্কিরি ১-৬, তোমরা de-orbit burn at 2-2-4-niner এর জন্য বিপদ্ মুক্ত।"
"00:07:15,894 --> 00:07:20,190",PILOT,"Copy, Venture Star. Go for de-orbit burn at 2-2-4-niner.","কপি, ভেঞ্চুর স্টার. de-orbit burn at 2-2-4-niner এর জন্য যাও."
"00:07:39,250 --> 00:07:41,043",CREW CHIEF,Exo-packs on! Let's go! Exo-packs on!,এক্সও প্যাক্স খোলো! চলো! এক্সও প্যাক্স খোলো!
"00:07:41,127 --> 00:07:42,628",ASSISTANT,Exo-packs on! Let's go!,এক্সও প্যাক্স খোলো! চলো!
"00:07:42,712 --> 00:07:47,842",CREW CHIEF,"Remember, people, you lose that mask, you're unconscious in 20 seconds, you're dead in four minutes!","মনে রেখো, মানুষরা, তোমরা যদি এই মাস্ক হারাও, তোমরা ২০ সেকেন্ডের জন্য অবচেতন হয়ে যাবে, তোমরা ৪ মিনিটের মাঝে মারা যাবে!"
"00:07:47,926 --> 00:07:49,427",CREW CHIEF,Let's nobody be dead today!,আজকে কেউ মরবে না!
"00:07:49,511 --> 00:07:51,262",CREW CHIEF,Looks very bad on my report.,আমার প্রতিবেদনে খারাপ দেখাবে.
"00:07:52,597 --> 00:07:55,725",PILOT,"Hell's Gate tower, this is TAV 1-6 on approach.","হেলস গেট টাওয়ার, এটা TAV 1-6, নিকটে."
"00:07:55,809 --> 00:07:57,809",PILOT,Crossing outer marker. Mine is in sight.,অতিক্রম করছি outer marker. আমারটা দৃষ্টির ভিতরে.
"00:08:40,061 --> 00:08:42,355",CREW CHIEF,Harnesses off! Get your packs!,সরঞ্জাম খোলো! তোমাদের বস্তাগুলো নাও!
"00:08:42,439 --> 00:08:45,900",CREW CHIEF,"-Put it together, let's go! Let's go! -Harnesses off! One minute!","- একসাথে নাও, চলো! চলো! - সরঞ্জাম খোলো! ১ মিনিট!"
"00:08:45,984 --> 00:08:49,987",CREW CHIEF,"When that ramp comes down, go directly into the base. Do not stop!","যখন ঢালু পথ নামবে, সোজাসুজি বেস এ যাবে। থামবে না!"
"00:08:50,071 --> 00:08:52,615",CREW CHIEF,Go straight inside. Wait for my mark!,সোজা ভিতরে যাও. আমার মার্ক এর জন্য অপেক্ষা করো!
"00:08:59,122 --> 00:09:03,001",CREW CHIEF,"Go, go, go, go! Get out of there! Keep moving! Let's go, let's go!","যাও, যাও, যাও, যাও! এখান থেকে চলে যাও! যেতে থাক! চলো, চলো!"
"00:09:13,136 --> 00:09:15,286",JAKE,There's no such thing as an ex-Marine.,এখানে একজন সাবেক নৌসেনা হিসেবে কিছুই করার নেই .
"00:09:16,222 --> 00:09:19,267",JAKE,"You may be out, but you never lose the attitude.","তুমি বাদ হয়ে যেতেও পারো, কিন্তু তোমার কখনো মনোভাব হারান চলবে না।"
"00:09:29,944 --> 00:09:32,822",WAINFLEET,"Let's go, special case! Do not make me wait for you!","চলো, বিশেষ ব্যাপার ! আমাকে তোমার জন্য অপেক্ষমান করো না!"
"00:09:32,906 --> 00:09:34,657",WAINFLEET,"Well, well, ladies.","ভালো, ভালো, ভদ্রমহিলাগন."
"00:09:36,076 --> 00:09:37,827",FIKE,Look at all this fresh meat!,এইসব তাজা মাংসের দিকে তাকাও!
"00:09:43,708 --> 00:09:49,464",JAKE,"Back on Earth, these guys were Army dogs, Marines, fighting for freedom.","পৃথিবীতে, এরা ছিলো সেনা কুকুর , নৌসেনা, স্বাধীনতার জন্য যুদ্ধ করেছে."
"00:09:56,179 --> 00:09:57,979",AMPSUIT OPERATOR,"Look out, hot rod!","বাইরে তাকাও, hot rod!"
"00:09:59,099 --> 00:10:03,936",JAKE,"But out here they're just hired guns, taking the money, working for the company.","কিন্তু বাইরে এখানে তারা শুধু ভাড়া করা আগ্নেয়াস্ত্র, টাকা নিচ্ছে, প্রতিষ্ঠানের জন্য কাজ করছে."
"00:10:04,020 --> 00:10:05,438",TROOPER,"Check this out, man.","এখানে দেখো, man."
"00:10:06,022 --> 00:10:07,524",WAINFLEET,Meals on wheels.,চাকার মাঝেও খাবার.
"00:10:08,858 --> 00:10:11,736",FIKE,"Oh, man, that is just wrong.","ও, man, এটা শুধু ভুল."
"00:10:24,582 --> 00:10:26,876",QUARITCH,You're not in Kansas anymore.,তোমরা আর কান্সাসে নও.
"00:10:29,295 --> 00:10:33,215",QUARITCH,"You are on Pandora, ladies and gentlemen.","তোমরা প্যান্ডোরা তে, ভদ্রমহিলা এবং ভদ্রমহোদয়গন."
"00:10:33,299 --> 00:10:37,053",QUARITCH,Respect that fact every second of every day.,এটাকে প্রতিদিন প্রতি সেকেন্ডে বিবেচনা করবে.
"00:10:39,305 --> 00:10:40,932",QUARITCH,"If there is a hell,","যদি এটা নরক ও হয়,"
"00:10:41,683 --> 00:10:46,312",QUARITCH,you might want to go there for some R&R after a tour on Pandora.,তাও তোমাকে কিছু R&R এর জন্য সেখানে যেতে হবে প্যান্ডোরা তে একটি সফর এর পরেও.
"00:10:47,146 --> 00:10:49,315",QUARITCH,"Out there, beyond that fence,","বাইরে, এই সুরক্ষা থেকে দূরে,"
"00:10:49,399 --> 00:10:56,990",QUARITCH,"every living thing that crawls, flies or squats in the mud wants to kill you and eat your eyes for Jujubes.","যত প্রানীরা ঘোরাফেরা করছে, মাছিরা বা কাদায় বসবাসকারীরা তোমাদের মারতে চাইবে এবং তোমাদের চোখগুলো খাবে Jujubes এর জন্য"
"00:10:58,867 --> 00:11:03,621",QUARITCH,We have an indigenous population of humanoids called the Na'vi.,আমাদের একটা মানুষের মত দরিদ্র জনগোষ্ঠী রয়েছে যাদের না'ভী বলে ডাকা হয়.
"00:11:03,705 --> 00:11:08,918",QUARITCH,They're fond of arrows dipped in a neurotoxin that'll stop your heart in one minute.,তারা নিউরোটক্সিন এ ডুবানো তীর পছন্দ করে যেগুলো তোমাদের হৃৎপিন্ড কে ১ মিনিটে বন্ধ করে দিতে পারে.
"00:11:09,002 --> 00:11:13,381",QUARITCH,And they have bones reinforced with naturally occurring carbon fiber.,এবং তাদের হাড়্গুলো প্রাকৃতিকভাবে কার্বন ফাইবার দিয়ে দৃঢ় করা।
"00:11:14,007 --> 00:11:15,842",QUARITCH,They are very hard to kill.,তাদের মারা খুবই শক্ত.
"00:11:17,302 --> 00:11:21,306",QUARITCH,"As head of security, it is my job to keep you alive.","নিরাপত্তা বাহিনীর প্রধান হিসেবে, তোমাদের জীবিত রাখাই আমার কাজ।"
"00:11:23,224 --> 00:11:25,018",QUARITCH,I will not succeed.,আমি সার্থক হবো না.
"00:11:27,186 --> 00:11:28,605",QUARITCH,Not with all of you.,তোমাদের সবাইকে নিয়ে নয়.
"00:11:29,689 --> 00:11:34,694",QUARITCH,"If you wish to survive, you need to cultivate a strong mental attitude.","যদি তোমরা টিকে থাকতে চাও, তোমাদের একটি কঠিন মনোভাব পোষন করা প্রয়োজন."
"00:11:35,486 --> 00:11:37,697",QUARITCH,You've got to obey the rules.,তোমাদের নিয়মগুলো মেনে চলতে হবে.
"00:11:38,489 --> 00:11:40,491",QUARITCH,Pandora rules.,প্যান্ডোরা  নিয়ম.
"00:11:43,536 --> 00:11:46,998",JAKE,There's nothing like an old-school safety brief to put your mind at ease.,এখানে কোনো পুরানো দিনের মতো নিরাপত্তা জনিত সংক্ষিপ্ত বিবৃতি নেই যেটা তোমার মনকে উদ্বেগহীন করতে পারে.
"00:11:49,334 --> 00:11:51,794",NORM,Excuse me. Excuse me. Jake!,ক্ষমা করবেন. ক্ষমা করবেন. জ্যাক !
"00:11:51,878 --> 00:11:54,881",NORM,"You're Jake, right? Tom's brother.","তুমি জ্যাক , তাই না? টমের ভাই."
"00:11:55,548 --> 00:11:57,800",NORM,Wow! You look just like him.,ওয়াও! তুমি দেখতে তার মতোই.
"00:11:57,884 --> 00:12:01,637",NORM,"Sorry, I'm Norm. Spellman. I went through avatar training with him.","দুঃখিত, আমি নর্ম. স্পেল্মেন. আমি তার সাথে অ্যাভাটার প্রশিক্ষনে গিয়েছিলাম."
"00:12:01,721 --> 00:12:03,723",NORM,[CHUCKLING] …into the bio-lab.,...বায়ো-ল্যাবে.
"00:12:04,432 --> 00:12:05,975",NORM,We're gonna spend a lot of time up here.,আমরা এখানে অনেক সময় কাটিয়েছি.
"00:12:06,059 --> 00:12:08,978",NORM,"Hey! How you doing? Norm, avatar driver.","হেই! কি করছো? নর্ম, অ্যাভাটার চালক."
"00:12:10,396 --> 00:12:11,981",NORM,Link… Here's the link room right here.,সংযুক্তি... এখানে সংযুক্তি রুম.
"00:12:12,065 --> 00:12:14,359",NORM,This is where we're connecting to the avatar.,এখানে আমরা অ্যাভাটারে যুক্ত হই.
"00:12:16,152 --> 00:12:21,490",JAKE,Me and Norm are here to drive these remotely controlled bodies called avatars.,আমি আর নর্ম এখানে চালাই। এই দুরনিয়ন্ত্রীত দেহগুলোকে বলা হয় অ্যাভাটার.
"00:12:21,574 --> 00:12:26,579",JAKE,And they're grown from human DNA mixed with the DNA of the natives.,এবং তাদের স্থানীয়দের DNA এর সাথে মানব DNA মিশিয়ে জন্মানো হয়েছে.
"00:12:26,663 --> 00:12:28,622",SCIENTIST,Hey. Welcome. Hey.,- হেই. স্বাগতম. - হেই.
"00:12:28,706 --> 00:12:31,501",SCIENTIST,Welcome to Pandora. Good to have you. -Thanks.,- প্যান্ডোরায় স্বাগতম. তোমাকে পেয়ে ভালো লাগছে. - ধন্যবাদ.
"00:12:33,086 --> 00:12:34,962",JAKE,[LAUGHS] Damn! They got big.,মূর্খ! তারা বৃহৎ.
"00:12:35,046 --> 00:12:37,590",MAX,"Yeah, they fully mature on the flight out.","ইয়া, তারা নড়াচড়া করার জন্য পুরোপুরি পূর্ণাঙ্গ."
"00:12:37,674 --> 00:12:40,009",NORM,So the proprioceptive sims seem to work really well.,তাহলে দেখা যাচ্ছে প্রোপ্রাইওসেপ্টিভ সিমগুলো ভালোই কাজ করছে।
"00:12:40,093 --> 00:12:41,969",MAX,"Yeah, they've got great muscle tone.","ইয়া, তাদের পেশির সুস্থতা অত্যন্ত ভালো."
"00:12:42,053 --> 00:12:45,972",MAX,"It'll take us a few hours to get them decanted, but you guys can take them out tomorrow.","তাদের স্রাবন করতে আমাদের আরও কিছু সময় লাগবে, কিন্তু তোমরা তাদের কালকে বাইরে নিয়ে যেতে পারবে."
"00:12:49,477 --> 00:12:51,061",NORM,Hey. Dr. Norm Spellman.,"হেই, ড. নর্ম স্পেল্মেন."
"00:12:51,145 --> 00:12:54,345",MAX,"-Dr. Max Patel. Great to meet you. -Good to meet you, yeah.","- ড. ম্যাক্স প্যাটেল. তোমার সাথে সাক্ষাৎ করে খুশি হলাম. - সাক্ষাৎ করে ভালো লাগলো, ইয়া."
"00:13:17,964 --> 00:13:19,465",MAX,Looks like him.,দেখতে তার মতোই.
"00:13:20,717 --> 00:13:22,552",MAX,"No, it looks like you.","না, এটি দেখতে তোমার মতো."
"00:13:23,636 --> 00:13:25,596",NORM,"This is your avatar now, Jake.","এটা এখন তোমার অ্যাভাটার, জ্যাক."
"00:13:28,850 --> 00:13:38,943",JAKE,"And the concept is that every driver is matched to his own avatar, so that their nervous systems are in tune, or something.","এবং ধারনা হচ্ছে যে  প্রতিটি চালক তার নিজের অ্যাভাটার এর সাথে সমকক্ষ, তাই তাদের স্নায়ুতন্ত্র সঙ্গতিপূর্ন, অথবা অন্যকিছু."
"00:13:40,278 --> 00:13:47,618",JAKE,"Which is why they offered me the gig, because I can link with Tommy's avatar, which is insanely expensive.","যেটা হচ্ছে কেন তারা আমাকে চুক্তি প্রস্তাব করল, কারন আমি টমির অ্যাভাটার এর সাথে যুক্ত হতে পারি, যেটা উন্মাদীয়ভাবে দামী."
"00:13:48,369 --> 00:13:51,830",JAKE,Is this right? I just say whatever to the video log?,এটা কি সঠিক? আমি যেটাই ভিডিও লগে বলি না কেন?
"00:13:51,914 --> 00:13:54,083",NORM,"Yeah, we gotta get in the habit of documenting everything.","ইয়া, আমাদের সব কিছু উপস্থাপন করার অভ্যাস হয়ে গেছে."
"00:13:54,167 --> 00:13:57,378",NORM,"You know, what we see, what we feel. It's all part of the science.","তুমি জান, আমরা যা দেখি, আমরা যা অনুভব করি. এগুলো সব কিছুই বিজ্ঞানের অংশ."
"00:13:57,462 --> 00:13:59,004",NORM,And good science is good observation.,এবং ভাল বিজ্ঞান হচ্ছে ভাল পর্যবেক্ষন.
"00:13:59,088 --> 00:14:01,548",MAX,Plus it'll help to keep you sane for the next six years.,যোগ করলে এটা তোমাকে আগামি ৬ বছরের জন্য মানসিক ভাবে সুস্থ রাখবে.
"00:14:06,345 --> 00:14:13,686",JAKE,"So, uh… Well, here I am, doing science.","তাহলে... ভাল, এখানে আমি, বিজ্ঞান বানাচ্ছি."
"00:14:14,854 --> 00:14:16,313",MALE TECHNICIAN,They're coming out!,তারা বাইরে আসছে!
"00:14:16,397 --> 00:14:18,997",WOMAN [ON PA],Attention. Drivers coming out of link.,দৃষ্টি আকর্ষন. চালকরা সংযুক্তি থেকে বেরিয়ে আসছেন.
"00:14:26,199 --> 00:14:27,700",GRACE,"[SIGHING] Oh, God.","ওহ, ঈশ্বর."
"00:14:29,660 --> 00:14:31,370",FEMALE TECH,Where's the lab coat? Where's the lab coat?,ল্যাব পোশাক কোথায়? ল্যাব পোশাক কোথায়?
"00:14:31,454 --> 00:14:37,752",GRACE,Who's got my goddamn cigarette? Guys! What's wrong with this picture?,কে আমার ঈশ্বরপ্রদত্ত সিগারেটটি নিয়েছে? লোকরা! এই ছবিটিতে কি ভুল আছে?
"00:14:38,878 --> 00:14:40,171",TECH,Thank you!,ধন্যবাদ!
"00:14:40,296 --> 00:14:42,297",NORM,Grace Augustine is a legend.,গ্রেস অগাস্টিন এতে বিখ্যাত.
"00:14:42,381 --> 00:14:47,720",NORM,"She's the head of the Avatar Program. She wrote the book, I mean, literally wrote the book on Pandoran botany.","তিনি হচ্ছেন অ্যাভাটার প্রোগ্রাম এর প্রধান. তিনি বই লেখেন, আমি বুঝাতে চাচ্ছি যে, আক্ষরিক ভাবে প্যান্ডোরার উদ্ভিদবিদ্যা নিয়ে বই লেখেন."
"00:14:47,845 --> 00:14:50,514",MAX,"Well, that's 'cause she likes plants better than people.","ভাল, একারনেই তিনি মানুষের চেয়েও উদ্ভিদ বেশি ভালবাসেন।"
"00:14:50,598 --> 00:14:52,474",MAX,"Here she is, Cinderella back from the ball.","এই যে তিনি, সিন্ডারেলা বল থেকে ফিরে এসেছেন."
"00:14:52,558 --> 00:14:56,229",MAX,"Grace, I'd like you to meet Norm Spellman and Jake Sully.","গ্রেস, আমি তোমার সাথে নর্ম স্পেল্মেন এবং জ্যাক সুলি কে সাক্ষাৎ করাতে ইচ্ছুক."
"00:14:57,980 --> 00:15:01,692",GRACE,Norm. I hear good things about you. How's your Na'vi?,নর্ম. আমি তোমার ব্যাপারে ভাল শুনেছি. তোমার না'ভী কেমন চলছে?
"00:15:02,860 --> 00:15:07,156",NORM,May the All Mother smile upon our first meeting.,সকলের মা অবশ্যই ...আমাদের প্রথম সাক্ষাৎকারের উপরে হাসছে
"00:15:07,281 --> 00:15:10,409",GRACE,Not bad. You sound a little formal.,খারাপ না. তোমাকে কিছুটা নিষ্ঠাবান মনে হচ্ছে.
"00:15:11,577 --> 00:15:15,957",NORM,"I studied for five years, but there is much to learn.",আমি ৫ বছর ধরে পড়াশোনা করেছি... ...কিন্তু এখনো অনেক কিছু শেখার বাকি আছে.
"00:15:16,165 --> 00:15:18,667",MAX,[IN ENGLISH] Grace? This is Jake Sully.,গ্রেস? এ হচ্ছে জ্যাক সুলি.
"00:15:20,211 --> 00:15:24,256",GRACE,"Yeah, yeah. I know who you are, and I don't need you. I need your brother.","ইয়া, ইয়া. আমি জানি তুমি কে, এবং আমার তোমাকে প্রয়োজন নেই. আমার তোমার ভাই কে প্রয়োজন."
"00:15:24,340 --> 00:15:27,968",GRACE,"You know, the PhD who trained for three years for this mission?","তুমি জান, এই PhD কে যে তিন বছরের প্রশিক্ষিত ছিল এই বিশেষ দায়িত্বের জন্য?"
"00:15:28,052 --> 00:15:29,470",JAKE,He's dead.,সে মৃত.
"00:15:30,179 --> 00:15:32,379",JAKE,I know it's a big inconvenience for everyone.,আমি জানি এটা সবার জন্য একটা বড় ঝামেলা .
"00:15:33,599 --> 00:15:35,349",GRACE,How much lab training have you had?,তোমার কতটুকু ল্যাব প্রশিক্ষন ছিল?
"00:15:35,601 --> 00:15:36,936",JAKE,I dissected a frog once.,আমি একবার একটি ব্যাঙ্ ব্যবচ্ছেদ করেছিলাম.
"00:15:38,312 --> 00:15:43,807",GRACE,"You see? You see? I mean, they're just pissing on us without even the courtesy of calling it rain.","তুমি দেখেছো? তুমি দেখেছো? আমি বলতে চাচ্ছি, তারা আমাদের সাথে শুধু মাতলামী করছে। এমনকি এটাকে বৃষ্টি বলার শিষ্টাচার ছাড়াও."
"00:15:43,985 --> 00:15:47,988",MAX,"I'm going to Selfridge. No, Grace, I don't think that's a good idea.","- আমি সেলফ্রিজে যাচ্ছি. - না, গ্রেস, আমি মনে করি না এটা একটা ভাল পরিকল্পনা."
"00:15:47,988 --> 00:15:48,072",GRACE,"No, man, this is such bullshit!","না, man, এটা ফালতু!"
"00:15:48,072 --> 00:15:49,490",GRACE,I'm gonna kick his corporate butt.,আমি তার সংস্থার পিছনে লাথি মারতে যাচ্ছি.
"00:15:49,574 --> 00:15:52,224",GRACE,He has no business sticking his nose in my department.,তার আমার বিভাগে নাক গলানোর কোনো অধিকার নেই।
"00:15:53,452 --> 00:15:57,290",GRACE,"Here tomorrow, 0800. Try and use big words.","আগামীকাল, ০৮০০. বড় ভাষা ব্যবহার কর এবং করতে চেষ্টা কর."
"00:16:16,976 --> 00:16:19,478",SELFRIDGE,"Mmm! You see that? Yes, sir.","তুমি এটা দেখেছো? - হ্যা, স্যার."
"00:16:19,562 --> 00:16:21,647",SELFRIDGE,"No, you didn't. You were looking at the monitor.","না, তুমি দেখোনি. তুমি মনিটরের দিকে তাকিয়েছিলে."
