timeline,character_name,english_dialogue,bengali_dialogue
"00:03:53,634 --> 00:03:55,770",MR. AZIZ,"Look, you are my only hope, all right?","সাড়ে ৭ মিনিটের ভেতরে তোমাকে ৪২ ব্লকে যেতে হবে, নইলে তোমার পাঁছায় লাথি মেরে বের করে দেয়া হবে"
"00:03:55,903 --> 00:03:58,172",MR. AZIZ,You have to make it in time.,যাও !
"00:03:58,306 --> 00:03:59,974",MR. AZIZ,"Peter, you're a nice guy,","হেই, কি, গর্দভ নাকি ?"
"00:04:00,108 --> 00:04:02,176",MR. AZIZ,but you're just not dependable.,ওয়া! সে লোকটার পিজ্জাগুলো চুরি করে নিল !
"00:04:02,310 --> 00:04:03,444",MR. AZIZ,This is your last chance.,আমি এটা নিতে যাচ্ছি !
"00:04:04,479 --> 00:04:06,447",MR. AZIZ,You have to go 42 blocks,"হেই, বাচ্চারা রাস্তায় খেলাধূলা করা চলবে না"
"00:04:06,581 --> 00:04:07,782",MR. AZIZ,"in seven and one-half minutes,","ঠিক আছে, মি. স্পাইডার-ম্যান"
"00:04:07,915 --> 00:04:09,484",MR. AZIZ,or your ass is fired.,দেখা হবে
"00:04:10,852 --> 00:04:11,819",PETER,Go!,"চালিয়ে চাও, স্পাইডি !"
"00:04:34,976 --> 00:04:36,110",MAN,"Hey, what're you, stupid?",সময়মতো পিজ্জা
"00:04:59,967 --> 00:05:01,803",BOY,He stole that guy's pizzas!,আপনি দেরী করেছেন
"00:05:10,678 --> 00:05:11,813",GIRL,I'm gonna get it!,আমি এগুলোর জন্য কোন পয়সা দেবো না
"00:05:27,728 --> 00:05:30,031",SPIDER-MAN,"Hey, you guys, no playing in the streets.","জো’র ২৯ মিনিটের গ্যারান্টি একটা ওয়াদা, ভাই"
"00:05:30,164 --> 00:05:31,632",CHILDREN,"BOTH: Yes, Mr. Spider-Man.","আমি জানি ওয়াদা তোমার কাছে কিছুই না, কিন্তু আমার জন্য এটা গুরুত্বপূর্ণ"
"00:05:31,766 --> 00:05:33,167",SPIDER-MAN,See you.,"এটা আমার জন্যও গুরুত্বপূর্ণ, মি.আজিজ"
"00:05:34,602 --> 00:05:35,837",WOMAN,"Way to go, Spidey! [GASPS]","- তুমি বরখাস্ত, যাও - প্লিজ, এই চাকরিটা আমার দরকার"
"00:06:28,022 --> 00:06:28,923",PETER,Pizza time.,"- ভাগো - দেখুন, আমাকে আরেকটা সুযোগ দিন"
"00:06:35,363 --> 00:06:37,932",RECEPTIONIST,You're late.,তোমার চাকরি শেষ
"00:06:38,065 --> 00:06:39,433",RECEPTIONIST,I'm not paying for those.,"- এই যে, পার্কার, তুমি বরখাস্ত - কেন?"
"00:06:56,918 --> 00:06:59,654",MR. AZIZ,AZIZ: Joe's 29-minute guarantee,কুকুররা ফ্রিসবি ধরছে ?
"00:06:59,787 --> 00:07:01,422",MR. AZIZ,"is a promise, man.",পার্কে কবুতর ? দুই বুড়া দাবা খেলছে ?
"00:07:01,556 --> 00:07:06,093",MR. AZIZ,"I know to you, Parker, a promise means nothing, but to me, it's serious.",- বস - এখন না
"00:07:06,227 --> 00:07:08,162",PETER,"It's serious to me too, Mr. Aziz.",বাগল চাইলে নিউইয়র্কের অন্য পাশও দেখাতে পারে
"00:07:08,296 --> 00:07:09,697",MR. AZIZ,You're fired. Go.,"আমাদের হাতে মাত্র ৬ মিনিটের সময় আছে, জোনাহ প্রথম পাতার জিনিস দরকার"
"00:07:09,830 --> 00:07:11,599",PETER,"Please, I need this job. You're fired.",আমি তোমাকে শিল্প উৎঘাটনের জন্য টাকা দেই না তোমাকে টাকা দেই... এখনও না !
"00:07:11,732 --> 00:07:13,701",PETER,"Look, give me another chance.",আমি তোমাকে টাকা দেই সাইকো স্পাইডার-ম্যানটা যেন তোমার কাছে ছবি ওঠে
"00:07:22,710 --> 00:07:24,278",JAMESON,JAMESON: You're fired.,তিনি আমাকে আর ছবি তুলতে দেন না
"00:07:24,412 --> 00:07:25,580",JAMESON,"Parker, hello. You're fired.",আপনি পুরো শহরকে তাঁর বিরুদ্ধে নিচ্ছেন
"00:07:25,713 --> 00:07:26,447",PETER,Why?,আমি সেটার জন্য গর্বিত
"00:07:26,581 --> 00:07:28,049",JAMESON,Dogs catching Frisbees?,আমার ডায়াবেটিক কোমা হওয়ার আগেই এই ছবির বাক্স টেবিল থেকে সরাও
"00:07:28,182 --> 00:07:29,217",JAMESON,Pigeons in the park?,"- আপনার স্ত্রী, তিনি তাঁর চেকবই হারিয়ে ফেলেছেন - সুখবরটার জন্য ধন্যবাদ!"
"00:07:29,350 --> 00:07:30,284",JAMESON,A couple of geezers playing chess?,"প্লিজ, এই ছবিগুলো কি আপনি কোনভাবে ব্যবহার করতে পারবেন না ? আমার টাকা প্রয়োজন"
"00:07:30,418 --> 00:07:31,819",HOFFMAN,Boss-- Not now!,"মিস. ব্রান্ট, আমাকে একটা ভায়োলিন দিন তো"
"00:07:31,953 --> 00:07:34,689",PETER,I was thinking maybe the Bugle could show another side of New York for a change.,"আর মাত্র ৫ মিনিট, জোনাহ"
"00:07:34,822 --> 00:07:36,057",ROBBIE,"We got six minutes to deadline, Jonah.",একটা মুরগীর বাচ্চা দৌঁড়াচ্ছে সেই ছবি লাগাও শিরোনাম দাও :
"00:07:36,190 --> 00:07:37,358",ROBBIE,"We need page one. Parker,","\খাদ্যে বিষক্রিয়ায় নগরবাসী আতংকিত\"""""
"00:07:37,491 --> 00:07:39,694",JAMESON,I don't pay you to be a sensitive artiste.,"- খাদ্যে বিষক্রিয়া ? - আমি একজন ঘৃণ্য ব্যক্তি, হ্যাঁ"
"00:07:39,827 --> 00:07:44,332",JAMESON,I pay you because-- Still not now! I pay you because for some reason that psycho Spider-Man will pose for you.,"ঠিক আছে, মি. জেমসন"
"00:07:44,465 --> 00:07:45,733",PETER,Spider-Man won't let me take any more pictures.,"জবর জিনিস রবি, এই হলো তোমার প্রথম পেজ"
"00:07:45,866 --> 00:07:47,368",PETER,You've turned the whole city against him.,"\মুখোশধারী সারা শহরে সন্ত্রাসী করে বেড়াচ্ছে\"""""
"00:07:47,501 --> 00:07:48,970",JAMESON,A fact I'm very proud of.,"আমি তোমাকে বলেছি, সে খারাপ নয়"
"00:07:49,103 --> 00:07:52,707",JAMESON,"Now, get your pretty little portfolio off my desk before I go into a diabetic coma.",- আর আমি তোমাকে বলেছি-- - আমি এটা দেখছি
"00:07:52,840 --> 00:07:53,975",BETTY,"[INTERCOM BUZZES] Boss, your wife's on the line.",- তোমাকে ১৫০ দিচ্ছি - ৩০০
"00:07:54,108 --> 00:07:55,710",BETTY,She says she lost her checkbook.,অনেক বেশী হয়ে যায়
"00:07:55,843 --> 00:07:57,178",JAMESON,Thanks for the good news. [BUZZ],"ঠিক আছে, ওই মেয়েটাকে দাও"
"00:07:57,311 --> 00:07:59,580",PETER,"Mr. Jameson, please, isn't there any of these shots you can use?","থ্যাংক ইউ, বাই বাই"
"00:07:59,714 --> 00:08:00,615",PETER,I really need the money.,হাই
"00:08:00,748 --> 00:08:02,550",JAMESON,Aw... Miss Brant?,"হেয়, পিট"
"00:08:02,683 --> 00:08:03,818",BETTY,Yes? Get me a violin.,"আমার মনেহয়, এই কভারের টাকাটা গত সপ্তাহে তোমাকে অগ্রিম দিয়েছিলাম"
"00:08:03,951 --> 00:08:05,353",ROBBIE,"Five minutes to deadline, Jonah.",- ঠিক - দুঃখিত
"00:08:05,486 --> 00:08:08,856",JAMESON,"All right, run a picture of a rancid chicken, here's the headline:",হেই
"00:08:08,990 --> 00:08:10,825",JAMESON,"\Food Poisoning Scare Sweeps City.\""""","মুখ তোলো, ঠিক আছো ?"
"00:08:10,958 --> 00:08:11,926",PETER,Some food got poisoned?,"এই ব্যাটা, সামলে !"
"00:08:12,059 --> 00:08:13,194",JAMESON,"I'm a little nauseous, yeah.","ড.কনরস, দুঃখিত"
"00:08:13,327 --> 00:08:14,528",PETER,"All right, Mr. Jameson.","কোথায় যাচ্ছো, পার্কার ?"
"00:08:16,130 --> 00:08:17,999",JAMESON,It stinks.,আপনার ক্লাসে
"00:08:18,132 --> 00:08:19,133",JAMESON,"Robbie, there's your page one.",আমার ক্লাস তো শেষ
"00:08:19,267 --> 00:08:20,368",JAMESON,"\Masked Menace Terrorizes Town.\""""","আমাকে এখানে দাঁড়িয়ে, দেখছ না?"
"00:08:20,501 --> 00:08:22,637",PETER,"I told you, he's not a menace.","আমি দুঃখিত, আমি ক্লাসে থাকার চেষ্টা করছিলাম"
"00:08:22,770 --> 00:08:24,338",JAMESON,And I told you-- I'll take care of it.,তো থাকতে
"00:08:24,472 --> 00:08:26,073",PETER,I'll give you 150. 300.,"কী অবস্থা তোমার, পিটার"
"00:08:26,207 --> 00:08:28,309",JAMESON,That's outrageous! Done.,"তোমার গ্রেড নিচে নেমে যাচ্ছে, তুমি ক্লাসে দেরী করছো"
"00:08:28,442 --> 00:08:29,977",JAMESON,Give this to the girl.,তোমাকে সবসময় অস্থির লাগে
"00:08:30,111 --> 00:08:31,279",PETER,"Thank you, bye-bye.",ফিউসনের উপর তোমার লেখা কাগজটি কিন্তু এখনও হাতে পাইনি
"00:08:31,412 --> 00:08:32,546",BETTY,Hi.,"আমি জানি, আমি এটা ড. অটো অক্টেভিস-এর উপর লেখার প্ল্যান করছি"
"00:08:33,514 --> 00:08:34,649",BETTY,"Hey, Pete.",প্ল্যান করাটা এই বিশ্ববিদ্যালয়ে মুখ্য নয়
"00:08:37,118 --> 00:08:40,921",BETTY,I don't think this covers the advance I gave you a couple weeks ago.,অক্টেভিস আমার বন্ধু
"00:08:41,055 --> 00:08:42,857",PETER,Oh...right.,"ভালভাবে তোমার গবেষণা করো, পার্কার"
"00:08:42,990 --> 00:08:43,924",PETER,Sorry.,"কাজ শেষ করো, নইলে আমি তোমাকে ফেল করিয়ে দেব !"
"00:08:45,159 --> 00:08:46,427",BETTY,Hey.,সারপ্রাইজ!
"00:08:46,560 --> 00:08:48,663",BETTY,"Chin up, okay?",কিছু তো বলো
"00:09:01,175 --> 00:09:02,109",GIRL,"Oh! GIRL: Watch it, jerk!",কী উপলক্ষ্যে?
"00:09:11,118 --> 00:09:13,954",DR. CONNORS,"Oh, hey. Wow.","আরে পিটার, আজ তোমার জন্মদিন!"
"00:09:14,088 --> 00:09:15,156",PETER,Dr. Connors. Sorry.,তোমার এটা মনে থাকুক আর নাই থাকুক
"00:09:15,289 --> 00:09:17,458",DR. CONNORS,"Where were you headed, Parker?","সে তো এই জগতে বাস করে না ! করো কি, পিট ?"
"00:09:17,591 --> 00:09:18,926",PETER,To your class.,"- হাই, এম.জে - হাই"
"00:09:19,060 --> 00:09:20,094",DR. CONNORS,My class is over.,"- হেই, দোস্ত - হেই"
"00:09:20,227 --> 00:09:23,064",DR. CONNORS,See me standing here?,অনেকদিন দেখা নেই
"00:09:23,197 --> 00:09:24,131",PETER,I-I'm sorry.,নাটকের কী খবর ? আমি তো চমৎকার রিভিউ পড়লাম
"00:09:24,265 --> 00:09:27,234",PETER,I'm trying. I... I wanna be here.,"এটা বেশ যাচ্ছে, চমৎকার"
"00:09:27,368 --> 00:09:28,936",DR. CONNORS,Then be here.,সে এটাতে ভাল করছে
"00:09:30,171 --> 00:09:31,906",DR. CONNORS,"Look at you, Peter.",হ্যারি আমাকে ফুল পাঠিয়েছিল
"00:09:32,039 --> 00:09:33,974",DR. CONNORS,Your grades have been steadily declining.,"তো তুমি কোথায় ছিলে, বৎস ? আমাকে কলব্যাকও করো না"
"00:09:34,108 --> 00:09:36,344",DR. CONNORS,You're late for class.,আমি ব্যস্ত ছিলাম
"00:09:36,477 --> 00:09:39,447",DR. CONNORS,You always... appear exhausted.,স্পাইডার-ম্যানের ছবি তোলার কাজে? পোকাটার আজকাল কী খবর?
"00:09:40,915 --> 00:09:42,383",DR. CONNORS,Your paper on fusion is still overdue.,ওই লোকটাকে যত কম দেখবে তত ভাল
"00:09:42,516 --> 00:09:43,884",PETER,I know. I'm--,"এখন, চলো অন্য রুমে গিয়ে কিছু খেয়ে নিই"
"00:09:44,018 --> 00:09:46,487",PETER,I'm planning to write it on Dr. Otto Octavius.,আমি খাবারগুলো দেখছি
"00:09:46,620 --> 00:09:49,390",DR. CONNORS,Planning is not a major at this university.,তো ওসক্রপ কেমন চলছে ?
"00:09:52,960 --> 00:09:54,228",DR. CONNORS,Octavius is a friend of mine.,খুব চমৎকার আমি স্পেশাল প্রজেক্টগুলোর প্রধান
"00:09:54,362 --> 00:09:57,732",DR. CONNORS,"Better do your research, Parker.",আমরা ফিউসনে একটা বিপ্লব ঘটাতে যাচ্ছি
"00:09:57,865 --> 00:09:59,233",DR. CONNORS,"Get it done,","খুব ভাল, হ্যারি তোমার বাবা খুব গর্বিত হতেন বেঁচে থাকলে তাঁর আত্মার শান্তি কামনা করি"
"00:09:59,367 --> 00:10:01,569",DR. CONNORS,or I'm failing you.,ধন্যবাদ
"00:10:21,922 --> 00:10:23,090",HARRY & MARY JANE,HARRY & MARY JANE: Surprise!,"আসলে আমরা তোমার একজন আদর্শের পিছনে টাকা ঢালছি, পিট, অটো অক্টেভিস"
"00:10:23,224 --> 00:10:24,358",AUNT MAY,[TOOT] Surprise!,- আমি তাকে নিয়ে লিখছি - তাঁর সাথে দেখা করতে চাও ?
"00:10:24,492 --> 00:10:25,693",HARRY,"Well, say something.",আমাকে পরিচয় করিয়ে দেবে ?
"00:10:25,826 --> 00:10:26,861",PETER,"Uh, what's the occasion?","বাজি ধরো, অক্টিভিস আমার বাবার পথে চলছেন..."
"00:10:26,994 --> 00:10:28,729",AUNT MAY,"AUNT MAY: Oh, really, Peter.",...তাঁর অসম্পূর্ণ স্বপ্ন ওসক্রপে পূরণ হবে
"00:10:28,863 --> 00:10:30,664",AUNT MAY,"It's your birthday! \What's the occasion?\""""","এম.জে, আমাকে একটু সাহায্য করতে পারবে ?"
"00:10:30,798 --> 00:10:32,900",AUNT MAY,Whether you want to remember it or not.,"সে তোমার জন্য অপেক্ষা করছে, বন্ধু"
"00:10:34,168 --> 00:10:36,170",MARY JANE,MARY JANE: He lives in another reality.,কী বলতে চাচ্ছো ?
"00:10:36,303 --> 00:10:37,905",MARY JANE,"Don't you, Pete?",সে তোমার দিকে যেভাবে তাকিয়ে থাকে নাকি তাকিয়ে থাকে না
"00:10:38,038 --> 00:10:40,040",PETER,"Hi, M.J. Hi.","যাই হোক, ‍তুমি যেভাবে দেখতে চাও..."
"00:10:40,174 --> 00:10:41,542",HARRY,"Hey, buddy. Hey.",মেয়েদের জন্য এখন আমার কোন সময় নেই
"00:10:41,675 --> 00:10:43,177",HARRY,"Long time, no see.","কেন, মরে গেছো নাকি ?"
"00:10:43,310 --> 00:10:45,112",PETER,"So, uh, how's the play?",আমি ব্যস্ত থাকি
"00:10:45,246 --> 00:10:46,881",PETER,I read a great review.,তোমার বন্ধুর ছবি তোলার কাজে?
"00:10:47,014 --> 00:10:48,783",MARY JANE,It's going fine. It's going good.,আমরা কি এই বিষয়টা বাদ দিতে পারি না?
"00:10:48,916 --> 00:10:50,284",HARRY,She's brilliant in it. Pssssh.,"আমি চাই, আমরা যেন বন্ধু থাকি, হ্যারি আমি চাই, আমরা যেন একে অপরকে বিশ্বাস করি"
"00:10:50,418 --> 00:10:51,485",MARY JANE,Harry sent me roses.,তাহলে আমার প্রতি সৎ থাকো
"00:10:51,619 --> 00:10:52,586",HARRY,"HARRY: So where you been, pal?","যদি তুমি জানো সে কে, তাহলে কি তুমি আমকে সেটা বলবে?"
"00:10:52,720 --> 00:10:55,689",HARRY,You don't return my calls.,মে
"00:10:55,823 --> 00:10:58,259",PETER,I've been busy.,"ওহ, কী হয়েছে, বেন ?"
"00:10:58,392 --> 00:11:00,461",HARRY,HARRY: Taking pictures of Spider-Man?,দাঁড়াও
"00:11:00,594 --> 00:11:01,595",HARRY,How's the bug these days?,- আন্ট মে - ওহ... আমি...
"00:11:01,729 --> 00:11:02,897",AUNT MAY,AUNT MAY: The less you see,"ওহ, পিটার এক সেকেন্ডের জন্য আমি এক বছর আগে ফিরে গিয়েছিলাম"
"00:11:03,030 --> 00:11:04,832",AUNT MAY,"of that man, the better. Now, let's","সবাই চলে গেছে, তাই না ?"
"00:11:04,965 --> 00:11:06,333",AUNT MAY,all go into the other room,তারা কি মজা করে সময় কাটিয়েছে ?
"00:11:06,467 --> 00:11:07,535",AUNT MAY,"and have something to eat, hm?","হ্যাঁ, আমি নিশ্চিত"
"00:11:07,668 --> 00:11:09,069",MARY JANE,I'll get the hors d'oeuvres.,"- তুমি ঠিক আছো ? - অবশ্যই, কিন্তু তুমি বাড়ি চলে যাও"
"00:11:09,203 --> 00:11:11,338",PETER,So how are things going at OsCorp?,"আর সাবধান, স্কুটার চালানোটা আমার পছন্দ হয় না"
"00:11:11,472 --> 00:11:12,506",HARRY,"Oh, they're great.",আমি তোমাকে নিয়ে চিন্তিত
"00:11:12,640 --> 00:11:14,708",HARRY,I'm head of Special Projects.,তুমি অনেক একা আমি ব্যাংকের চিঠিগুলো দেখেছি
"00:11:14,842 --> 00:11:16,210",HARRY,We're about to make a breakthrough on fusion.,"ওহ, তুমি দেখেছো ?"
"00:11:16,343 --> 00:11:18,078",AUNT MAY,"Oh, how lovely, Harry.",বেশ
"00:11:18,212 --> 00:11:21,415",AUNT MAY,"Your father would be so proud, rest his soul.",তো?
"00:11:21,549 --> 00:11:22,783",HARRY,Thank you.,আমি একটু পিছিয়ে আছি
"00:11:22,917 --> 00:11:25,319",HARRY,"We're actually funding one of your idols, Pete.",সবাই আছে
"00:11:25,453 --> 00:11:26,620",HARRY,Otto Octavius.,"যাই হোক, আমি আর এটা নিয়ে কথা বলতে চাই না"
"00:11:26,754 --> 00:11:28,122",PETER,I'm writing a paper on him.,"আমি ক্লান্ত, তুমি বরং বাড়ি চলে যাও"
"00:11:28,255 --> 00:11:29,490",HARRY,You want to meet him?,"এই যে, বাবু, হ্যাপি বার্থ ডে"
"00:11:29,623 --> 00:11:31,025",PETER,You'd introduce me?,আমার চেয়ে এটা তোমার বেশী প্রয়োজন
"00:11:31,158 --> 00:11:32,560",HARRY,You bet.,"- না, এটা আমি তোমার কাছ থেকে নিতে পারবো না - হ্যাঁ, তুমি পারবে !"
"00:11:32,693 --> 00:11:36,464",HARRY,Octavius is gonna put OsCorp on the map in a way my father never even dreamed of.,তুমি আমার কাছ থেকে এই টাকা নিতে পারো
"00:11:36,597 --> 00:11:38,165",AUNT MAY,"M.J., could you give me a hand?","ঈশ্বরের দোহাই, এটা বেশী নয় এখন, নাও এটা !"
"00:11:38,299 --> 00:11:40,534",MARY JANE,Huh? Oh.,আর এটা এখানে রেখে যাওয়ার সাহস দেখিয়ো না
"00:11:40,668 --> 00:11:42,203",HARRY,"She's waiting for you, pal.","ওহ, আমি দুঃখিত"
"00:11:42,336 --> 00:11:44,205",PETER,What do you mean?,আসলে আমি তোমার আংকেল বেনকে অনেক মিস করি
"00:11:44,338 --> 00:11:48,476",HARRY,"Oh, the way she looks at you or doesn't look at you, however you want to look at it.","বিশ্বাস হয়, সামনের মাসে তাঁর মৃত্যুর ২ বছর পূর্ণ হতে যাচ্ছে?"
"00:11:48,609 --> 00:11:51,612",PETER,I don't have time for girls right now.,মাঝেমাঝে আমি ভাবি...
"00:11:51,745 --> 00:11:52,847",HARRY,"Why, are you dead?",...যা ঘটেছে সেটার জন্য কি আমি দায়ী....
"00:11:52,980 --> 00:11:54,849",PETER,I've been kind of busy.,"ওহ, আমি জানি না আমি কী করবো"
"00:11:54,982 --> 00:11:57,051",HARRY,Taking pictures of your friend?,এখন...
"00:11:57,184 --> 00:11:59,653",PETER,Could we get off that subject?,...তুমি বরং কেকের বাকিটা বাসায় নিয়ে যাও
"00:11:59,787 --> 00:12:01,689",HARRY,"I want us to be friends, Harry.",হেই
"00:12:01,822 --> 00:12:03,157",HARRY,I want us to trust each other.,"হেই, তুমি এখনও এখানে আছো"
"00:12:03,290 --> 00:12:04,925",HARRY,Then be honest with me.,ব্লিকারে আমি তোমার বিল বোর্ড দেখেছি
"00:12:05,059 --> 00:12:08,629",HARRY,"If you knew who he was, would you tell me?",এটা হাস্যকর তাই না ? আমি সত্যি অস্বস্তিবোধ করছি
"00:12:31,452 --> 00:12:32,920",AUNT MAY,[WHISPERS] May.,"আরে নাহ, এটা ভাল তো এখন আমি প্রতিদিন তোমাকে দেখতে পাই"
"00:12:33,053 --> 00:12:35,990",AUNT MAY,"Oh, what, Ben? Hmm? May.","আজ তোমাকে দেখে, ভাল লাগল, পিটার"
"00:12:36,123 --> 00:12:38,158",AUNT MAY,Wait. Oh...,"ওহ, সেরেছে রে"
"00:12:39,627 --> 00:12:41,495",AUNT MAY,"[CHUCKLES] Oh, Peter.",কিছুই না
"00:12:41,629 --> 00:12:45,232",AUNT MAY,"Oh, for a second there, I thought I was years ago.",তুমি কি কিছু বলতে চাও ?
"00:12:47,201 --> 00:12:49,303",AUNT MAY,"Everybody's gone, aren't they?",আমি...
"00:12:49,436 --> 00:12:51,505",PETER,Did they have a good time?,... ভাবি...
"00:12:51,639 --> 00:12:54,241",PETER,I'm sure they did.,... যদি তুমি এখনও গ্রামে থাকতে
"00:12:54,375 --> 00:12:57,311",AUNT MAY,You okay? Of course.,তুমি একটা রহস্যের মতো
"00:12:57,444 --> 00:12:59,046",AUNT MAY,But you go home.,পিটার
"00:12:59,179 --> 00:13:00,648",AUNT MAY,And be careful.,কী?
"00:13:00,781 --> 00:13:05,319",AUNT MAY,I don't like that scooter thing you drive around.,শুভ জন্মদিন
"00:13:05,452 --> 00:13:06,554",PETER,I'm worried about you.,আমি এখন কাউকে দেখছি
"00:13:06,687 --> 00:13:08,422",PETER,You're so...,"তুমি বলতে চাচ্ছো, বয়ফ্রেন্ডের মতো ?"
"00:13:08,556 --> 00:13:09,590",PETER,alone.,"মনেহয়, আমি তাকে পছন্দ করি"
"00:13:09,723 --> 00:13:11,292",PETER,And I saw the letter from the bank.,কী?
"00:13:11,425 --> 00:13:13,127",AUNT MAY,"Oh, my.",কিছু না
"00:13:13,260 --> 00:13:14,295",PETER,You did?,"সেটা ভাল, জানো তো ? জোড়ায় জোড়ায় ঘোরা...."
"00:13:14,428 --> 00:13:16,330",AUNT MAY,"Oh, well.",হয়তো তার চেয়েও বেশী কিছু
"00:13:16,463 --> 00:13:18,465",AUNT MAY,So?,আরও?
"00:13:18,599 --> 00:13:20,234",AUNT MAY,I'm a little behind.,আমি জানি না
"00:13:20,367 --> 00:13:22,970",AUNT MAY,Everybody is.,আগামীকাল রাতে আমি তোমার নাটক দেখতে আসছি
"00:13:23,103 --> 00:13:24,071",AUNT MAY,"Anyway,",- তুমি আসছো ? - আমি সেখানে থাকবো
"00:13:24,204 --> 00:13:26,607",AUNT MAY,I don't want to talk about it anymore.,আমাকে হতাশ কোরো না
"00:13:26,740 --> 00:13:27,875",AUNT MAY,"I'm tired,",করবো না
"00:13:28,008 --> 00:13:30,811",AUNT MAY,and you better start back home.,ভাড়া
"00:13:31,779 --> 00:13:33,614",AUNT MAY,"[CHUCKLES] Here, kiddo.","- হাই - হাই, কী “হাই” ?"
"00:13:33,747 --> 00:13:34,882",AUNT MAY,Happy birthday.,আমি কি এটা খরচ করতে পারি ?
"00:13:35,015 --> 00:13:36,817",AUNT MAY,You need it more than I do.,এ সপ্তাহে আমার একটা চেক আটকে আছে--
"00:13:36,951 --> 00:13:38,319",PETER,"No, I-- I can't take that from--","- আরও একমাস দেরী করলে, আবার - আমি কথা দিচ্ছি যত দ্রুত--"
"00:13:38,452 --> 00:13:39,553",AUNT MAY,"Yes, you can!","যদি কথা দেয়া একটা খাবার হতো, আমার মেয়ে মোটা হয়ে যেত"
"00:13:39,687 --> 00:13:41,822",AUNT MAY,You can take this money from me.,"আমি সত্যি দুঃখিত, মি. ডিটকোভিচ সপ্তাহ শেষে আমার কাছে এই ২০ ডলার আছে"
"00:13:41,956 --> 00:13:43,257",AUNT MAY,"[CRYING] For God's sake, it's not much.","\দুঃখিত\"" বললেই তো ভাড়া মিটে যায় না"""
"00:13:43,390 --> 00:13:44,658",AUNT MAY,"Now, take it!",আর আমার নামে বদমান করার চেষ্টা করো না আমার চোখ বিড়ালের মতো এবং কান ইঁদুরের মতো
"00:13:44,792 --> 00:13:46,327",AUNT MAY,And don't you dare leave it here.,"- ধন্যবাদ, মি.ডিটকোভিচ - হাই, পিট"
